City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Lasa,IT,46.6166,10.7002,34.7,95,96,7.49,light snow
119,Yumen,CN,40.2833,97.2,14.4,30,96,5.79,overcast clouds
120,Mayumba,GA,-3.432,10.6554,77.68,88,72,2.57,broken clouds
121,Chokurdakh,RU,70.6333,147.9167,-13.92,95,100,2.24,overcast clouds
122,Zarate,AR,-34.0981,-59.0286,71.02,40,3,6.58,clear sky
123,Port Alfred,ZA,-33.5906,26.891,74.95,96,100,5.82,overcast clouds
124,Piojo,CO,10.7485,-75.1078,75.56,75,22,20.18,few clouds
125,Bonfim,BR,3.0833,-59.95,84.63,50,88,8.61,overcast clouds
126,Vao,NC,-22.6667,167.4833,77.88,84,100,9.06,overcast clouds
127,Khor,RU,47.8861,134.9464,-5.15,98,100,3.94,overcast clouds
128,Ballina,AU,-28.8667,153.5667,86.77,75,35,3.44,scattered clouds
129,Campana,AR,-34.1687,-58.9591,73.09,40,4,6.62,clear sky
130,Shache,CN,38.4167,77.2406,29.71,40,92,1.23,overcast clouds
131,Banjar,ID,-8.19,114.9675,82.26,80,95,2.17,overcast clouds
132,Ukiah,US,39.1502,-123.2078,66.13,48,0,11.5,clear sky
133,Alofi,NU,-19.0595,-169.9187,78.87,69,86,6.53,overcast clouds
134,Ugoofaaru,MV,5.6667,73.0,82.29,72,11,12.57,few clouds
135,Hermanus,ZA,-34.4187,19.2345,74.89,88,2,9.01,clear sky
136,Viedma,AR,-40.8135,-62.9967,69.37,26,16,3.31,few clouds
137,Khatanga,RU,71.9667,102.5,-28.84,100,44,2.91,scattered clouds
138,Suclayin,PH,15.7568,121.5503,73.6,90,78,3.02,light rain
139,Vila Velha,BR,-20.3297,-40.2925,78.75,91,75,5.01,moderate rain
140,El Reno,US,35.5323,-97.955,65.55,33,0,11.5,clear sky
141,Fortuna,US,40.5982,-124.1573,53.42,71,0,5.01,clear sky
142,Ancud,CL,-41.8697,-73.8203,60.42,75,11,8.12,few clouds
