City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
547,Maputo,MZ,77.23,clear sky,-25.9653,32.5892,Pestana Rovuma
553,Kirakira,SB,84.63,overcast clouds,-10.4544,161.9205,SanBiz Lodge
556,Trairi,BR,78.84,scattered clouds,-3.2778,-39.2689,janelas do mar
557,Canto Do Buriti,BR,75.9,few clouds,-8.11,-42.9444,Novo Hotel
560,Puerto Escondido,MX,81.54,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
567,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
571,Ca Mau,VN,75.7,clear sky,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
578,Kampot,KH,78.85,few clouds,10.6167,104.1833,Two Moons Hotel
582,Nieuw Amsterdam,SR,80.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
584,Buchanan,LR,76.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
588,Kollam,IN,78.67,clear sky,8.8833,76.6,Nani Hotels and Resorts
593,Meulaboh,ID,75.97,scattered clouds,4.1363,96.1285,Kost Pria
602,Moroni,KM,79.16,scattered clouds,-11.7022,43.2551,Hotel les Arcades
603,Antalaha,MG,75.49,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
605,General Roca,AR,79.63,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
617,Nisia Floresta,BR,79.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
621,Sassandra,CI,77.41,overcast clouds,4.95,-6.0833,la terrasse
638,Miandrivazo,MG,79.03,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
640,Mayor Pablo Lagerenza,PY,84.24,overcast clouds,-19.9309,-60.7718,
645,Mitu,CO,75.09,overcast clouds,1.1983,-70.1733,
648,Luba,GQ,80.35,scattered clouds,3.4568,8.5547,
649,Waingapu,ID,82.13,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
650,Kencong,ID,77.86,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
658,Puerto Lempira,HN,78.94,few clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
667,Port Keats,AU,82.18,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
668,Pauini,BR,78.58,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
676,Hobyo,SO,77.13,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
680,Kattivakkam,IN,76.06,scattered clouds,13.2167,80.3167,Euronova Freezer
681,Mitsamiouli,KM,81.09,scattered clouds,-11.3847,43.2844,Foyer ADM
682,Batticaloa,LK,78.44,overcast clouds,7.7102,81.6924,Grand Star Guest House
684,Bermejo,AR,82.31,clear sky,-32.8833,-68.8,Muras Apart Hotel
686,Salinopolis,BR,77.04,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
695,Mahibadhoo,MV,82.17,few clouds,3.7833,72.9667,Omadhoo Inn
698,Laguna De Perlas,NI,76.05,scattered clouds,12.3429,-83.6712,Hotel Best View
